crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,sequence_index,x_px,y_px,local_stroke_width_px,object_type,fit_partition,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,0,1052.70334455,976.694755591,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,1,1019.29744706,944.959152978,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,2,980.880664952,896.520601623,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,3,950.815357214,843.071165644,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,4,932.442113596,797.973204037,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,5,919.079754601,734.501998813,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,6,919.079754601,659.338729468,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,7,927.431228973,609.229883238,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,8,940.793587968,567.472511379,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,9,965.848011083,514.023075401,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,10,994.243023946,473.935998417,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,11,1025.97862656,438.859806056,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,12,1054.37363942,415.475677815,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,13,1102.81219078,385.410370077,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,14,1134.54779339,372.048011083,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,15,1164.61310113,362.026241837,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,16,1336.65347318,358.685652088,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,17,1358.36730655,367.03712646,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,18,1388.43261429,377.058895706,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,19,1453.57411439,415.475677815,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-EQUATOR-HORIZON-LIMB,2,Salah-Eddin Gherbi,20,1481.96912725,438.859806056,9,closed_contour,calibration,outer circular limb explicitly labelled 'Equator Great Circle (at horizon)',,2026-07-31T15:46:35Z
