landmark_id,source_feature,fit_partition,pass1_x_px,pass1_y_px,pass2_x_px,pass2_y_px,consensus_x_px,consensus_y_px,pass_separation_px,pass1_stroke_width_px,pass2_stroke_width_px,uncertainty_floor_px,consensus_uncertainty_px,crop_file_sha256,crop_pixel_sha256
AOG-LM-P07-CENTRAL-REFERENCE-NODE,central black square at the centre of the spherical-panel spiral,calibration,1249.79813972,701.096101326,1248.12784484,699.425806452,1248.96299228,700.260953889,2.36215366822,11.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-FLAT-INNER-END,flat-panel inner endpoint associated with theta=3*pi+1 and r approximately 1/10,holdout,585.020779735,512.352780526,585.020779735,514.023075401,585.020779735,513.187927963,1.670294875,3,3,3,3,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-FLAT-UNIT-R1-THETA1RAD,"flat-panel marker labelled r=1, theta=1 Radian approximately 57 degrees",scale_calibration,759.476374689,616.015473888,755.390856917,610.900178112,757.433615803,613.457826,6.54657974375,7,7,3,3.5,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-L,left-middle black node on the equator-at-horizon limb,calibration,912.398575104,686.063447457,914.068869978,687.733742331,913.233722541,686.898594894,2.36215366397,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-LL,lower-left black node on the equator-at-horizon limb,calibration,1082.76865229,996.738294083,1081.09835741,993.397704334,1081.93350485,995.067999208,3.73489288431,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-LR-SHARED,lower-right black rim node where the labelled y=0 and y=1 curves and the thick spiral visually converge,calibration,1425.17910152,991.72740946,1425.17910152,991.72740946,1425.17910152,991.72740946,0,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-R,right-middle black node on the equator-at-horizon limb,calibration,1592.20858896,696.085216703,1592.20858896,697.755511577,1592.20858896,696.92036414,1.670294874,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-UL,upper-left black node on the equator-at-horizon limb,calibration,1079.42806254,402.113318821,1079.42806254,398.772729072,1079.42806254,400.443023947,3.340589749,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-RIM-NODE-UR,upper-right black node on the equator-at-horizon limb,calibration,1426.8493964,395.432139323,1426.8493964,400.443023946,1426.8493964,397.937581635,5.010884623,13.5,13.5,2,6.75,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
AOG-LM-P07-SPHERE-INNER-END,visible innermost termination of the thick spiral in the spherical panel,holdout,1226.41401148,684.393152583,1223.07342173,687.733742331,1224.7437166,686.063447457,4.72430732936,3,3,3,3,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4
