crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,0,1096.71157507,436.747397612,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,1,1104.1984757,448.265706264,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,2,1116.29269978,469.286619553,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,3,1122.33981182,479.365139623,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,4,1132.41833189,498.370348898,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,5,1140.48114795,511.904361564,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,6,1149.98375259,526.878162811,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,7,1157.18269549,538.684429178,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,8,1166.1093847,554.234145858,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,1,Salah-Eddin Gherbi,S01,9,1173.88424304,565.176539077,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run; regular dash gaps treated as line style; started near the top left node and stopped before the great circle between top-right node and lower-left node or stopped before the curve between the upper interior crossing node and the UCLL node,2026-07-31T20:01:00Z
