axis,pass_number,bin_index,bin_left,bin_right,is_last_bin,sample_count,weight_total,signed_mean_deg,rms_deg,p95_abs_deg,chord_rms_px
rho,1,0,0,0.05,False,0,0,,,,
rho,1,1,0.05,0.1,False,833,75.7263073481319,-20.7076063687974,47.214969219071,65.1186822971155,23.9207642746668
rho,1,2,0.1,0.15,False,771,52.4481368357373,-9.06934531586157,30.1486522083001,40.4966046630168,20.5962822278556
rho,1,3,0.15,0.2,False,336,72.1294778749299,58.8138245432016,59.0091601355123,65.7184534115524,59.7897238714941
rho,1,4,0.2,0.25,False,351,97.5000923150908,53.4009296053908,54.0219600646328,65.7244281505027,68.7616068013748
rho,1,5,0.25,0.3,False,631,214.348127425261,-14.7587022760304,39.3815157088153,64.6068555516592,61.9395940851292
rho,1,6,0.3,0.35,False,110,36.6818462037261,-59.3330836990211,59.4098696627482,62.9442172855852,108.893326253249
rho,1,7,0.35,0.4,False,81,27.0111776591074,-47.4819315463369,47.5923442563323,52.4993868186111,102.914419430622
rho,1,8,0.4,0.45,False,74,24.6768783552339,-37.385093830866,37.4886566839928,41.7812041429996,92.7918431569029
rho,1,9,0.45,0.5,False,42,8.17841664721541,-30.4432347569006,30.5290925518636,32.3888366780734,82.989572964595
rho,1,10,0.5,0.55,False,380,21.2712914060041,-21.1895081067195,21.2865406766195,24.3810621186673,65.8803002450958
rho,1,11,0.55,0.6,False,33,13.352312046583,-12.682259636948,12.7302750443238,14.4502619382942,44.1758451157999
rho,1,12,0.6,0.65,False,52,21.0400068612822,-7.90847754864255,8.07822592478569,10.4113816645868,29.8106517186058
rho,1,13,0.65,0.7,False,51,20.6353913447191,-2.37205562870976,2.80854631279909,4.75845116111837,11.0872295978592
rho,1,14,0.7,0.75,False,51,20.6353913447191,2.50284291684597,2.87095675050461,4.68279906927351,12.627897612925
rho,1,15,0.75,0.8,False,50,20.230775828156,7.17131426481291,7.27719314758482,9.02171389768116,33.847382625595
rho,1,16,0.8,0.85,False,51,20.6353913447191,11.2282650701032,11.2901626267153,13.1194822609786,55.6893815361657
rho,1,17,0.85,0.9,False,50,20.230775828156,15.1560371837866,15.1932616157569,16.8223457336357,79.3050769817903
rho,1,18,0.9,0.95,False,50,20.230775828156,18.7289606669627,18.7547891422761,20.3242959213859,103.220774014244
rho,1,19,0.95,1,True,13,5.26000171532056,20.9981655414104,21.0002771239335,21.4869515105085,119.241477520053
rho,2,0,0,0.05,False,0,0,,,,
rho,2,1,0.05,0.1,False,802,73.3283476397705,-19.1053775137384,39.0454096362066,56.144470802276,20.3831131519189
rho,2,2,0.1,0.15,False,802,58.1609614306441,-10.5788285294774,26.819687428313,39.3572960917811,17.6615385152905
rho,2,3,0.15,0.2,False,338,74.0077655277827,56.0681489809984,56.4804929263381,64.6761565969633,58.0571830321217
rho,2,4,0.2,0.25,False,351,96.7510291314081,51.2363482410512,51.6918923440106,61.4966563925204,66.2171296795218
