pass_number,radial_bin_index,rho_left,rho_right,phase_bin_index,phase_left_deg,phase_right_deg,sample_count
1,0,0,0.1,0,0,10,0
1,0,0,0.1,1,10,20,0
1,0,0,0.1,2,20,30,0
1,0,0,0.1,3,30,40,0
1,0,0,0.1,4,40,50,0
1,0,0,0.1,5,50,60,27
1,0,0,0.1,6,60,70,21
1,0,0,0.1,7,70,80,17
1,0,0,0.1,8,80,90,15
1,0,0,0.1,9,90,100,14
1,0,0,0.1,10,100,110,23
1,0,0,0.1,11,110,120,434
1,0,0,0.1,12,120,130,74
1,0,0,0.1,13,130,140,56
1,0,0,0.1,14,140,150,93
1,0,0,0.1,15,150,160,59
1,0,0,0.1,16,160,170,0
1,0,0,0.1,17,170,180,0
1,0,0,0.1,18,180,190,0
1,0,0,0.1,19,190,200,0
1,0,0,0.1,20,200,210,0
1,0,0,0.1,21,210,220,0
1,0,0,0.1,22,220,230,0
1,0,0,0.1,23,230,240,0
1,0,0,0.1,24,240,250,0
1,0,0,0.1,25,250,260,0
1,0,0,0.1,26,260,270,0
1,0,0,0.1,27,270,280,0
1,0,0,0.1,28,280,290,0
1,0,0,0.1,29,290,300,0
1,0,0,0.1,30,300,310,0
1,0,0,0.1,31,310,320,0
1,0,0,0.1,32,320,330,0
1,0,0,0.1,33,330,340,0
1,0,0,0.1,34,340,350,0
1,0,0,0.1,35,350,360,0
1,1,0.1,0.2,0,0,10,27
1,1,0.1,0.2,1,10,20,34
1,1,0.1,0.2,2,20,30,33
1,1,0.1,0.2,3,30,40,47
1,1,0.1,0.2,4,40,50,61
1,1,0.1,0.2,5,50,60,49
1,1,0.1,0.2,6,60,70,0
1,1,0.1,0.2,7,70,80,0
1,1,0.1,0.2,8,80,90,0
1,1,0.1,0.2,9,90,100,0
1,1,0.1,0.2,10,100,110,0
1,1,0.1,0.2,11,110,120,0
1,1,0.1,0.2,12,120,130,0
1,1,0.1,0.2,13,130,140,0
1,1,0.1,0.2,14,140,150,0
1,1,0.1,0.2,15,150,160,12
1,1,0.1,0.2,16,160,170,51
1,1,0.1,0.2,17,170,180,47
1,1,0.1,0.2,18,180,190,28
1,1,0.1,0.2,19,190,200,30
1,1,0.1,0.2,20,200,210,46
1,1,0.1,0.2,21,210,220,60
1,1,0.1,0.2,22,220,230,33
1,1,0.1,0.2,23,230,240,27
1,1,0.1,0.2,24,240,250,2
1,1,0.1,0.2,25,250,260,0
1,1,0.1,0.2,26,260,270,68
1,1,0.1,0.2,27,270,280,249
1,1,0.1,0.2,28,280,290,84
1,1,0.1,0.2,29,290,300,0
1,1,0.1,0.2,30,300,310,0
1,1,0.1,0.2,31,310,320,0
1,1,0.1,0.2,32,320,330,18
1,1,0.1,0.2,33,330,340,32
1,1,0.1,0.2,34,340,350,34
1,1,0.1,0.2,35,350,360,35
1,2,0.2,0.3,0,0,10,0
1,2,0.2,0.3,1,10,20,0
1,2,0.2,0.3,2,20,30,0
1,2,0.2,0.3,3,30,40,0
1,2,0.2,0.3,4,40,50,0
1,2,0.2,0.3,5,50,60,0
1,2,0.2,0.3,6,60,70,5
1,2,0.2,0.3,7,70,80,52
1,2,0.2,0.3,8,80,90,104
1,2,0.2,0.3,9,90,100,440
1,2,0.2,0.3,10,100,110,56
1,2,0.2,0.3,11,110,120,79
1,2,0.2,0.3,12,120,130,70
1,2,0.2,0.3,13,130,140,102
1,2,0.2,0.3,14,140,150,24
1,2,0.2,0.3,15,150,160,50
1,2,0.2,0.3,16,160,170,0
1,2,0.2,0.3,17,170,180,0
1,2,0.2,0.3,18,180,190,0
1,2,0.2,0.3,19,190,200,0
1,2,0.2,0.3,20,200,210,0
1,2,0.2,0.3,21,210,220,0
1,2,0.2,0.3,22,220,230,0
1,2,0.2,0.3,23,230,240,0
1,2,0.2,0.3,24,240,250,0
1,2,0.2,0.3,25,250,260,0
1,2,0.2,0.3,26,260,270,0
1,2,0.2,0.3,27,270,280,0
1,2,0.2,0.3,28,280,290,0
1,2,0.2,0.3,29,290,300,0
1,2,0.2,0.3,30,300,310,0
1,2,0.2,0.3,31,310,320,0
1,2,0.2,0.3,32,320,330,0
1,2,0.2,0.3,33,330,340,0
1,2,0.2,0.3,34,340,350,0
1,2,0.2,0.3,35,350,360,0
1,3,0.3,0.4,0,0,10,0
1,3,0.3,0.4,1,10,20,0
1,3,0.3,0.4,2,20,30,36
1,3,0.3,0.4,3,30,40,39
1,3,0.3,0.4,4,40,50,38
1,3,0.3,0.4,5,50,60,38
1,3,0.3,0.4,6,60,70,40
1,3,0.3,0.4,7,70,80,0
1,3,0.3,0.4,8,80,90,0
1,3,0.3,0.4,9,90,100,0
1,3,0.3,0.4,10,100,110,0
1,3,0.3,0.4,11,110,120,0
1,3,0.3,0.4,12,120,130,0
1,3,0.3,0.4,13,130,140,0
1,3,0.3,0.4,14,140,150,0
1,3,0.3,0.4,15,150,160,0
1,3,0.3,0.4,16,160,170,0
1,3,0.3,0.4,17,170,180,0
1,3,0.3,0.4,18,180,190,0
1,3,0.3,0.4,19,190,200,0
1,3,0.3,0.4,20,200,210,0
1,3,0.3,0.4,21,210,220,0
1,3,0.3,0.4,22,220,230,0
1,3,0.3,0.4,23,230,240,0
1,3,0.3,0.4,24,240,250,0
1,3,0.3,0.4,25,250,260,0
1,3,0.3,0.4,26,260,270,0
1,3,0.3,0.4,27,270,280,0
1,3,0.3,0.4,28,280,290,0
1,3,0.3,0.4,29,290,300,0
1,3,0.3,0.4,30,300,310,0
1,3,0.3,0.4,31,310,320,0
1,3,0.3,0.4,32,320,330,0
1,3,0.3,0.4,33,330,340,0
1,3,0.3,0.4,34,340,350,0
1,3,0.3,0.4,35,350,360,0
1,4,0.4,0.5,0,0,10,46
