segment_id,pass1_raw_points,pass2_raw_points,pass1_polyline_length_px,pass2_polyline_length_px,mean_polyline_length_px,pass1_median_stroke_width_px,pass2_median_stroke_width_px,sigma_source_px,median_px,mean_px,rms_px,p95_px,max_px,median_over_limb_radius,rms_over_limb_radius,p95_over_limb_radius,max_over_limb_radius
S01,10,13,23.3375229024,24.0263376304,23.6819302664,14,14,7,0.255406650033,0.271382974321,0.318416496275,0.61337027782,0.909603439902,0.00074700740537,0.000931297132155,0.00179397106421,0.00266038689857
S02,22,28,49.3566752728,49.3020100094,49.3293426411,14,14,7,0.945721423959,0.89529969694,0.98792728509,1.55020014024,1.65205698531,0.00276602393486,0.00288946665184,0.00453398916753,0.00483189768928
S03,17,26,39.2217993007,41.7482921657,40.4850457332,14,14,7,0.823492412515,0.885552554725,0.941529289286,1.36204121132,2.12386875287,0.00240853137667,0.00275376287727,0.00398366632641,0.00621184172857
S04,9,12,16.258446708,16.4126692649,16.3355579864,14,14,7,0.414485550918,0.395520407868,0.470036997301,0.775380969279,0.969623036268,0.00121227765962,0.00137475323268,0.00226781615106,0.00283593081235
S05,26,29,86.0830971067,87.8021123569,86.9426047318,14,14,7,0.540684639051,0.549319853386,0.637941024218,1.07851637121,1.26402052145,0.0015813818054,0.00186583500946,0.00315441949535,0.00369697770178
S06,28,26,117.140334638,115.505658344,116.322996491,14,14,7,0.363658602192,0.443362569539,0.556243827224,1.16603035023,1.86099644186,0.00106362018698,0.00162688895561,0.00341037833743,0.00544299893232
S07,33,34,142.405063021,143.901646701,143.153354861,14,14,7,0.640871094809,1.19322709788,1.62316924446,3.30733395378,3.50550212883,0.00187440481149,0.00474740749947,0.0096732131101,0.0102528107605
S08,28,25,133.722002979,132.808329875,133.265166427,14,14,7,0.674793422392,0.70693692292,0.827824051003,1.41822942832,2.08912578067,0.001973620043,0.00242120045176,0.0041480043113,0.00611022629485
S09,10,11,22.4468101416,23.3599661842,22.9033881629,14,14,7,1.04652107693,1.07234794417,1.10913805892,1.45848730231,1.4707349727,0.00306084040583,0.00324398109245,0.00426574960096,0.00430157130131
S10,31,25,162.250822142,162.36194003,162.306381086,14,14,7,0.489072002524,0.546730619088,0.648804139413,1.09553425267,1.84261656018,0.00143042637142,0.00189760719509,0.00320419299761,0.0053892418836
