crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,0,1095.84812732,434.857282429,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,1,1099.22290449,441.087640291,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,2,1101.55928869,444.72201571,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,3,1103.63607464,448.356391129,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,4,1116.61598685,469.9030454,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,5,1119.47156754,474.575813797,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,6,1122.06754998,478.729385704,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,7,1133.48987273,499.497245243,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,8,1135.82625693,502.872022418,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,9,1138.94143586,507.544790814,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,10,1141.01822181,512.736755698,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,11,1150.10416036,526.755060887,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,12,1152.95974105,531.427829283,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,13,1154.77692876,535.581401191,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,14,1157.3729112,538.696580121,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-GC-Y0,2,Salah-Eddin Gherbi,S01,15,1166.71844799,555.051269508,2,printed curve labelled y=0 (x-axis),dashed back-hemisphere run near the upper left node; stopped at curve betwween upper interior crossing and UCLL nodes,2026-08-03T07:25:12Z
