crop_id,crop_file_sha256,crop_pixel_sha256,landmark_id,pass_number,operator,segment_id,sequence_index,x_px,y_px,local_stroke_width_px,source_feature,operator_note,timestamp_utc
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,0,1224.82924227,691.635809798,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,1,1225.3091718,688.276303108,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,2,1225.88508723,685.204754134,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,3,1226.74896038,682.517148782,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,4,1227.80480534,680.405458862,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,5,1229.05262211,678.197783038,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,6,1230.78036841,676.278064929,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,7,1232.22015699,674.166375009,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,8,1233.37198786,672.630600523,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S01,9,1234.90776234,671.286797847,14,thick reciprocal-spiral projection in the spherical panel,First innermost spiral arc started near the central node; stopped before dashed back-hemisphere of y = 0,2026-08-04T07:31:51Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,0,1237.05143302,670.018605886,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,1,1239.3092833,669.036931853,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,2,1241.66530098,668.05525782,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,3,1244.11948606,667.368085998,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,4,1245.88649932,666.877248981,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,5,1248.83152142,666.190077158,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,6,1251.58020871,665.993742352,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,7,1253.73989158,665.993742352,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
AOG_P07_SPHERICAL_PROJECTION,ef8b7d652edea5227166e54ca1bf6e81a4c02afd0d78c9d793e615a2db6906f6,afb1df2172f081fa426f2f86c56912079116f6441ba64df367861d00375fddc4,AOG-LM-P07-SPIRAL-SPHERICAL,1,Salah-Eddin Gherbi,S02,8,1256.09590926,665.895574948,14,thick reciprocal-spiral projection in the spherical panel,Second innermost spiral arc started near dashed back-hemisphere of y = 0; stopped before Great Circle projection of y-axis,2026-08-04T07:34:38Z
