candidate_id,rank,layer_a,segment_a,layer_b,segment_b,candidate_kind,panel_x,panel_y,distance_px,crossing_angle_deg,piece_index_a,piece_index_b,fraction_a,fraction_b,status,confidence,event_id,over_layer,over_segment,under_layer,under_segment,visibility,reason_code,notes,reviewed_utc
XING_G_S03_B_S04,1,green,3,blue,4,near_crossing,121.43887000937437,116.59685944985601,1.476214665919814,71.16702560234758,0,8,0.0,0.7859973226565401,crossing,high,E01,blue,4,green,3,visible,source_crossing,Green S03 passes under blue S04 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_G_S05_B_S04,2,green,5,blue,4,near_crossing,112.01880658721237,93.78885019355623,1.5030657200066668,68.72947272348115,0,3,0.0,0.1825697908151412,crossing,high,E02,blue,4,green,5,visible,source_crossing,Green S05 passes under blue S04 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S04_B_S03,3,red,4,blue,3,near_crossing,115.48578722902423,70.90643914064754,1.7489698823678386,14.656513361111903,1,6,1.0,0.3153300446007019,crossing,high,E03,blue,3,red,4,visible,source_crossing,Red S04 passes under blue S03 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S04_G_S06,4,red,4,green,6,near_crossing,113.09571254588926,75.45092706735764,2.0105551204196317,45.30074403228506,0,3,0.0,0.34125334368262644,crossing,high,E04,green,6,red,4,visible,source_crossing,Red S04 passes under green S06 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S03_G_S07,5,red,3,green,7,near_crossing,116.9592983599031,59.90812348013487,2.087778591841135,25.561244042373296,8,0,0.2399891298798261,0.0,crossing,high,E05,red,3,green,7,visible,source_crossing,Green S07 passes under red S03 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_G_S07_B_S03,6,green,7,blue,3,near_crossing,113.30445419320641,64.05005950654272,2.108029864609302,77.27432740725096,1,4,1.0,0.16833112235692624,crossing,high,E06,blue,3,green,7,visible,source_crossing,Green S07 passes under blue S03 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S06_G_S04,7,red,6,green,4,near_crossing,110.13203545886618,109.36567067122994,2.3025205184822752,78.08967476590354,0,9,0.0,0.7081008609353291,crossing,high,E07,green,4,red,6,visible,source_crossing,Red S06 passes under green S04 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S07_B_S05,8,red,7,blue,5,near_crossing,107.07874558877319,126.35847647024956,2.3028076168261107,81.02816638681857,4,1,0.38237047266151064,1.0,crossing,high,E08,red,7,blue,5,visible,source_crossing,Blue S05 passes under red S07 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S03_B_S03,9,red,3,blue,3,near_crossing,115.75216799998873,66.14348314315419,2.330293327053016,41.49678434674472,9,5,1.0,0.05713646530954808,crossing,high,E09,blue,3,red,3,visible,source_crossing,Red S03 passes under blue S03 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_R_S05_G_S05,10,red,5,green,5,near_crossing,115.05745,90.69845000000001,2.427341232707096,52.76516601842548,2,1,0.0,1.0,crossing,high,E10,red,5,green,5,visible,source_crossing,Green S05 passes under red S05 at a clear visible crossing.,2026-07-29T07:20:26+00:00
XING_G_S08_B_S02,11,green,8,blue,2,near_crossing,117.44560833304901,46.08274722208007,2.456292539894867,84.80963302459092,2,1,0.7777806212394994,1.0,crossing,high,E11,green,8,blue,2,visible,source_crossing,Blue S02 passes under green S08 at a clear visible crossing.,2026-07-29T07:20:26+00:00
