panel_id,asset_id,layer,layer_label,segment_id,point_index,panel_x,panel_y,source_x,source_y,closed_layer,connected_layer
A10_P03,A10,red,Red centreline,0,0,172.374,79.0832,557.374,434.08320000000003,False,True
A10_P03,A10,red,Red centreline,0,1,171.7226,72.787,556.7226,427.78700000000003,False,True
A10_P03,A10,red,Red centreline,0,2,171.2884,65.6224,556.2884,420.62239999999997,False,True
A10_P03,A10,red,Red centreline,0,3,170.2029,58.8921,555.2029,413.8921,False,True
A10_P03,A10,red,Red centreline,0,4,168.9002,50.2078,553.9002,405.2078,False,True
A10_P03,A10,red,Red centreline,0,5,165.8607,44.1287,550.8607,399.1287,False,True
A10_P03,A10,red,Red centreline,0,6,162.8212,38.9182,547.8212,393.9182,False,True
A10_P03,A10,red,Red centreline,0,7,157.1764,33.2733,542.1764000000001,388.2733,False,True
A10_P03,A10,red,Red centreline,0,8,149.5776,29.3654,534.5776,384.3654,False,True
A10_P03,A10,red,Red centreline,0,9,143.2815,26.7601,528.2815,381.7601,False,True
A10_P03,A10,red,Red centreline,0,10,135.0314,25.2403,520.0314,380.2403,False,True
A10_P03,A10,red,Red centreline,0,11,127.6497,25.4574,512.6496999999999,380.4574,False,True
A10_P03,A10,red,Red centreline,0,12,123.9589,25.8917,508.95889999999997,380.8917,False,True
A10_P03,A10,red,Red centreline,1,0,112.235,29.7996,497.235,384.7996,False,True
A10_P03,A10,red,Red centreline,1,1,110.0639,30.668,495.0639,385.668,False,True
A10_P03,A10,red,Red centreline,1,2,107.8929,31.5365,492.8929,386.5365,False,True
A10_P03,A10,red,Red centreline,2,0,101.8138,36.3129,486.8138,391.3129,False,True
A10_P03,A10,red,Red centreline,2,1,102.248,39.5695,487.248,394.5695,False,True
A10_P03,A10,red,Red centreline,2,2,103.3336,42.609,488.3336,397.609,False,True
A10_P03,A10,red,Red centreline,2,3,106.156,44.7801,491.156,399.7801,False,True
A10_P03,A10,red,Red centreline,2,4,108.7613,48.0367,493.7613,403.0367,False,True
A10_P03,A10,red,Red centreline,2,5,112.0179,50.8591,497.0179,405.8591,False,True
A10_P03,A10,red,Red centreline,2,6,114.8403,53.2473,499.8403,408.2473,False,True
A10_P03,A10,red,Red centreline,2,7,117.0114,56.2868,502.0114,411.28679999999997,False,True
