order,event_id,role,token,candidate_id,segment_order,layer,segment_id,traversal_forward,source_fraction,traversal_fraction,global_position,panel_x,panel_y,order_basis,review_id
1,E13,O,E13O,XING_R_S01_G_S10,1,red,1,True,0.9134654765014858,0.9134654765014858,0.9134654765014858,131.30381633277034,26.59830462280444,derived_arc_order,
2,E21,O,E21O,XING_R_S01_G_S09,1,red,1,True,1.0,1.0,1.0,123.6332,24.1548,manual_exact_tie_resolution,ORDER_R_S01_E21O_E24U
3,E24,U,E24U,XING_R_S01_B_S01,1,red,1,True,1.0,1.0,1.0,123.5234793429986,27.69564288250742,manual_exact_tie_resolution,ORDER_R_S01_E21O_E24U
4,E15,U,E15U,XING_R_S02_B_S01,2,red,2,True,0.0,0.0,1.0,112.42276481350648,28.44764145012875,derived_arc_order,
5,E26,U,E26U,XING_R_S02_G_S08,2,red,2,True,1.0,1.0,2.0,106.61769573011503,32.927627076597986,derived_arc_order,
6,E25,U,E25U,XING_R_S03_G_S08,3,red,3,True,0.0,0.0,2.0,102.52998983865854,34.593978409343975,derived_arc_order,
7,E14,O,E14O,XING_R_S03_B_S02,3,red,3,True,0.535393663005,0.535393663005,2.5353936630050002,113.3078240736927,50.1635830225315,derived_arc_order,
8,E05,O,E05O,XING_R_S03_G_S07,3,red,3,True,0.8400231153152531,0.8400231153152531,2.840023115315253,116.9592983599031,59.90812348013487,derived_arc_order,
9,E09,U,E09U,XING_R_S03_B_S03,3,red,3,True,1.0,1.0,3.0,115.75216799998873,66.14348314315419,derived_arc_order,
10,E03,U,E03U,XING_R_S04_B_S03,4,red,4,False,1.0,0.0,3.0,115.48578722902423,70.90643914064754,derived_arc_order,
11,E04,U,E04U,XING_R_S04_G_S06,4,red,4,False,0.0,1.0,4.0,113.09571254588926,75.45092706735764,derived_arc_order,
12,E10,O,E10O,XING_R_S05_G_S05,5,red,5,True,0.41023140007929937,0.41023140007929937,4.410231400079299,115.05745,90.69845000000001,derived_arc_order,
13,E19,U,E19U,XING_R_S05_B_S04,5,red,5,True,1.0,1.0,5.0,116.72104257786489,99.91696138046386,derived_arc_order,
14,E20,U,E20U,XING_R_S06_B_S04,6,red,6,False,1.0,0.0,5.0,115.86281758209637,104.9007795108561,derived_arc_order,
15,E07,U,E07U,XING_R_S06_G_S04,6,red,6,False,0.0,1.0,6.0,110.13203545886618,109.36567067122994,derived_arc_order,
