order,event_id,role,crossing_sign,event_token,signed_token,unsigned_token,candidate_id,segment_order,layer,segment_id,traversal_forward,source_fraction,traversal_fraction,global_position,panel_x,panel_y,order_basis,order_review_id,sign_basis,sign_review_id
1,E13,O,-1,E13-,E13O-,E13O,XING_R_S01_G_S10,1,red,1,True,0.9134654765014858,0.9134654765014858,0.9134654765014858,131.30381633277034,26.59830462280444,derived_arc_order,,derived_stable_all_spans,
2,E21,O,-1,E21-,E21O-,E21O,XING_R_S01_G_S09,1,red,1,True,1.0,1.0,1.0,123.6332,24.1548,manual_exact_tie_resolution,ORDER_R_S01_E21O_E24U,manual_low_angle_review,E21
3,E24,U,-1,E24-,E24U-,E24U,XING_R_S01_B_S01,1,red,1,True,1.0,1.0,1.0,123.5234793429986,27.69564288250742,manual_exact_tie_resolution,ORDER_R_S01_E21O_E24U,manual_low_angle_review,E24
4,E15,U,-1,E15-,E15U-,E15U,XING_R_S02_B_S01,2,red,2,True,0.0,0.0,1.0,112.42276481350648,28.44764145012875,derived_arc_order,,derived_stable_all_spans,
5,E26,U,-1,E26-,E26U-,E26U,XING_R_S02_G_S08,2,red,2,True,1.0,1.0,2.0,106.61769573011503,32.927627076597986,derived_arc_order,,derived_stable_all_spans,
6,E25,U,-1,E25-,E25U-,E25U,XING_R_S03_G_S08,3,red,3,True,0.0,0.0,2.0,102.52998983865854,34.593978409343975,derived_arc_order,,derived_stable_all_spans,
7,E14,O,-1,E14-,E14O-,E14O,XING_R_S03_B_S02,3,red,3,True,0.535393663005,0.535393663005,2.5353936630050002,113.3078240736927,50.1635830225315,derived_arc_order,,derived_stable_all_spans,
8,E05,O,-1,E05-,E05O-,E05O,XING_R_S03_G_S07,3,red,3,True,0.8400231153152531,0.8400231153152531,2.840023115315253,116.9592983599031,59.90812348013487,derived_arc_order,,derived_stable_all_spans,
9,E09,U,-1,E09-,E09U-,E09U,XING_R_S03_B_S03,3,red,3,True,1.0,1.0,3.0,115.75216799998873,66.14348314315419,derived_arc_order,,derived_stable_all_spans,
10,E03,U,-1,E03-,E03U-,E03U,XING_R_S04_B_S03,4,red,4,False,1.0,0.0,3.0,115.48578722902423,70.90643914064754,derived_arc_order,,manual_low_angle_review,E03
11,E04,U,-1,E04-,E04U-,E04U,XING_R_S04_G_S06,4,red,4,False,0.0,1.0,4.0,113.09571254588926,75.45092706735764,derived_arc_order,,derived_stable_all_spans,
12,E10,O,-1,E10-,E10O-,E10O,XING_R_S05_G_S05,5,red,5,True,0.41023140007929937,0.41023140007929937,4.410231400079299,115.05745,90.69845000000001,derived_arc_order,,derived_stable_all_spans,
13,E19,U,-1,E19-,E19U-,E19U,XING_R_S05_B_S04,5,red,5,True,1.0,1.0,5.0,116.72104257786489,99.91696138046386,derived_arc_order,,derived_stable_all_spans,
14,E20,U,-1,E20-,E20U-,E20U,XING_R_S06_B_S04,6,red,6,False,1.0,0.0,5.0,115.86281758209637,104.9007795108561,derived_arc_order,,derived_stable_all_spans,
15,E07,U,-1,E07-,E07U-,E07U,XING_R_S06_G_S04,6,red,6,False,0.0,1.0,6.0,110.13203545886618,109.36567067122994,derived_arc_order,,derived_stable_all_spans,
16,E28,U,-1,E28-,E28U-,E28U,XING_R_S07_G_S04,7,red,7,True,0.0,0.0,6.0,108.11876429463139,112.24490252744398,derived_arc_order,,derived_stable_all_spans,
17,E18,O,-1,E18-,E18O-,E18O,XING_R_S07_G_S02,7,red,7,True,0.06215880145870434,0.06215880145870434,6.062158801458704,103.99955070095342,118.87735528308144,derived_arc_order,,derived_stable_all_spans,
18,E29,O,-1,E29-,E29O-,E29O,XING_R_S07_G_S01,7,red,7,True,0.10176584846910308,0.10176584846910308,6.101765848469103,100.51115,122.939,derived_arc_order,,derived_stable_all_spans,
19,E31,O,-1,E31-,E31O-,E31O,XING_R_S07_B_S06,7,red,7,True,0.14929211478209412,0.14929211478209412,6.149292114782094,103.225,127.28115,manual_close_order_confirmation,ORDER_R_S07_E31O_E08O,derived_stable_all_spans,
20,E08,O,-1,E08-,E08O-,E08O,XING_R_S07_B_S05,7,red,7,True,0.16948804517878613,0.16948804517878613,6.169488045178786,107.07874558877319,126.35847647024956,manual_close_order_confirmation,ORDER_R_S07_E31O_E08O,derived_stable_all_spans,
21,E13,U,-1,E13-,E13U-,E13U,XING_R_S01_G_S10,9,green,10,False,0.0,1.0,9.0,131.30381633277034,26.59830462280444,derived_arc_order,,derived_stable_all_spans,
22,E21,U,-1,E21-,E21U-,E21U,XING_R_S01_G_S09,10,green,9,False,1.0,0.0,9.0,123.6332,24.1548,derived_arc_order,,manual_low_angle_review,E21
23,E27,U,-1,E27-,E27U-,E27U,XING_G_S09_B_S01,10,green,9,False,0.0,1.0,10.0,95.9055934775306,24.136538082431464,derived_arc_order,,manual_low_angle_review,E27
24,E12,U,-1,E12-,E12U-,E12U,XING_G_S08_B_S01,11,green,8,False,1.0,0.0,10.0,96.71128428649106,27.261438365716348,derived_arc_order,,derived_stable_all_spans,
25,E25,O,-1,E25-,E25O-,E25O,XING_R_S03_G_S08,11,green,8,False,0.7876327708294475,0.2123672291705525,10.212367229170553,102.52998983865854,34.593978409343975,derived_arc_order,,derived_stable_all_spans,
26,E26,O,-1,E26-,E26O-,E26O,XING_R_S02_G_S08,11,green,8,False,0.7175467686890383,0.28245323131096167,10.282453231310962,106.61769573011503,32.927627076597986,derived_arc_order,,derived_stable_all_spans,
27,E11,O,-1,E11-,E11O-,E11O,XING_G_S08_B_S02,11,green,8,False,0.2558538806370756,0.7441461193629244,10.744146119362924,117.44560833304901,46.08274722208007,derived_arc_order,,derived_stable_all_spans,
28,E05,U,-1,E05-,E05U-,E05U,XING_R_S03_G_S07,12,green,7,True,0.0,0.0,11.0,116.9592983599031,59.90812348013487,derived_arc_order,,derived_stable_all_spans,
29,E06,U,-1,E06-,E06U-,E06U,XING_G_S07_B_S03,12,green,7,True,1.0,1.0,12.0,113.30445419320641,64.05005950654272,derived_arc_order,,derived_stable_all_spans,
30,E04,O,-1,E04-,E04O-,E04O,XING_R_S04_G_S06,13,green,6,False,0.560325736551373,0.43967426344862703,12.439674263448627,113.09571254588926,75.45092706735764,derived_arc_order,,derived_stable_all_spans,
31,E17,O,-1,E17-,E17O-,E17O,XING_G_S06_B_S03,13,green,6,False,0.4222674551624461,0.5777325448375539,12.577732544837554,114.94455304022993,77.37674671991354,derived_arc_order,,derived_stable_all_spans,
32,E23,O,-1,E23-,E23O-,E23O,XING_G_S06_B_S04,13,green,6,False,0.30333398517898874,0.6966660148210113,12.69666601482101,113.45081257128193,81.0805665715301,derived_arc_order,,derived_stable_all_spans,
33,E10,U,-1,E10-,E10U-,E10U,XING_R_S05_G_S05,14,green,5,False,1.0,0.0,13.0,115.05745,90.69845000000001,derived_arc_order,,derived_stable_all_spans,
34,E02,U,-1,E02-,E02U-,E02U,XING_G_S05_B_S04,14,green,5,False,0.0,1.0,14.0,112.01880658721237,93.78885019355623,derived_arc_order,,derived_stable_all_spans,
35,E07,O,-1,E07-,E07O-,E07O,XING_R_S06_G_S04,15,green,4,False,0.7355290767056645,0.2644709232943355,14.264470923294336,110.13203545886618,109.36567067122994,derived_arc_order,,derived_stable_all_spans,
36,E28,O,-1,E28-,E28O-,E28O,XING_R_S07_G_S04,15,green,4,False,0.7028991989044419,0.29710080109555814,14.297100801095558,108.11876429463139,112.24490252744398,derived_arc_order,,derived_stable_all_spans,
37,E22,O,-1,E22-,E22O-,E22O,XING_G_S02_G_S04,15,green,4,False,0.5937916446239214,0.4062083553760786,14.406208355376078,110.77930847644384,116.89485700653084,derived_arc_order,,derived_stable_all_spans,
38,E30,O,-1,E30-,E30O-,E30O,XING_G_S04_B_S05,15,green,4,False,0.4811612689880121,0.518838731011988,14.518838731011988,113.94847055620056,121.82339093488278,derived_arc_order,,derived_stable_all_spans,
39,E16,U,-1,E16-,E16U-,E16U,XING_G_S04_B_S04,15,green,4,False,0.0,1.0,15.0,123.52465,117.83695,derived_arc_order,,derived_stable_all_spans,
40,E01,U,-1,E01-,E01U-,E01U,XING_G_S03_B_S04,16,green,3,True,0.0,0.0,15.0,121.43887000937437,116.59685944985601,derived_arc_order,,derived_stable_all_spans,
41,E22,U,-1,E22-,E22U-,E22U,XING_G_S02_G_S04,17,green,2,False,1.0,0.0,16.0,110.77930847644384,116.89485700653084,derived_arc_order,,derived_stable_all_spans,
42,E18,U,-1,E18-,E18U-,E18U,XING_R_S07_G_S02,17,green,2,False,0.0,1.0,17.0,103.99955070095342,118.87735528308144,derived_arc_order,,derived_stable_all_spans,
43,E29,U,-1,E29-,E29U-,E29U,XING_R_S07_G_S01,18,green,1,False,1.0,0.0,17.0,100.51115,122.939,derived_arc_order,,derived_stable_all_spans,
44,E27,O,-1,E27-,E27O-,E27O,XING_G_S09_B_S01,19,blue,1,True,0.6084451268782964,0.6084451268782964,18.608445126878298,95.9055934775306,24.136538082431464,manual_close_order_confirmation,ORDER_B_S01_E27O_E12O,manual_low_angle_review,E27
45,E12,O,-1,E12-,E12O-,E12O,XING_G_S08_B_S01,19,blue,1,True,0.6127233094779044,0.6127233094779044,18.612723309477904,96.71128428649106,27.261438365716348,manual_close_order_confirmation,ORDER_B_S01_E27O_E12O,derived_stable_all_spans,
46,E15,O,-1,E15-,E15O-,E15O,XING_R_S02_B_S01,19,blue,1,True,0.7430771162982929,0.7430771162982929,18.74307711629829,112.42276481350648,28.44764145012875,derived_arc_order,,derived_stable_all_spans,
47,E24,O,-1,E24-,E24O-,E24O,XING_R_S01_B_S01,19,blue,1,True,0.8302151189172161,0.8302151189172161,18.830215118917216,123.5234793429986,27.69564288250742,derived_arc_order,,manual_low_angle_review,E24
48,E11,U,-1,E11-,E11U-,E11U,XING_G_S08_B_S02,20,blue,2,False,1.0,0.0,19.0,117.44560833304901,46.08274722208007,derived_arc_order,,derived_stable_all_spans,
49,E14,U,-1,E14-,E14U-,E14U,XING_R_S03_B_S02,20,blue,2,False,0.0,1.0,20.0,113.3078240736927,50.1635830225315,derived_arc_order,,derived_stable_all_spans,
50,E06,O,-1,E06-,E06O-,E06O,XING_G_S07_B_S03,21,blue,3,True,0.49647310604143996,0.49647310604143996,20.49647310604144,113.30445419320641,64.05005950654272,derived_arc_order,,derived_stable_all_spans,
51,E09,O,-1,E09-,E09O-,E09O,XING_R_S03_B_S03,21,blue,3,True,0.6031065412852203,0.6031065412852203,20.60310654128522,115.75216799998873,66.14348314315419,derived_arc_order,,derived_stable_all_spans,
52,E03,O,-1,E03-,E03O-,E03O,XING_R_S04_B_S03,21,blue,3,True,0.7751363938547573,0.7751363938547573,20.77513639385476,115.48578722902423,70.90643914064754,derived_arc_order,,manual_low_angle_review,E03
53,E17,U,-1,E17-,E17U-,E17U,XING_G_S06_B_S03,21,blue,3,True,1.0000000000000002,1.0000000000000002,21.0,114.94455304022993,77.37674671991354,derived_arc_order,,derived_stable_all_spans,
54,E23,U,-1,E23-,E23U-,E23U,XING_G_S06_B_S04,22,blue,4,True,0.0,0.0,21.0,113.45081257128193,81.0805665715301,derived_arc_order,,derived_stable_all_spans,
55,E02,O,-1,E02-,E02O-,E02O,XING_G_S05_B_S04,22,blue,4,True,0.3049325747791034,0.3049325747791034,21.3049325747791,112.01880658721237,93.78885019355623,derived_arc_order,,derived_stable_all_spans,
56,E19,O,-1,E19-,E19O-,E19O,XING_R_S05_B_S04,22,blue,4,True,0.4831392918938935,0.4831392918938935,21.48313929189389,116.72104257786489,99.91696138046386,derived_arc_order,,derived_stable_all_spans,
57,E20,O,-1,E20-,E20O-,E20O,XING_R_S06_B_S04,22,blue,4,True,0.5707097842411272,0.5707097842411272,21.570709784241128,115.86281758209637,104.9007795108561,derived_arc_order,,derived_stable_all_spans,
58,E01,O,-1,E01-,E01O-,E01O,XING_G_S03_B_S04,22,blue,4,True,0.8870059810794425,0.8870059810794425,21.887005981079444,121.43887000937437,116.59685944985601,manual_close_order_confirmation,ORDER_B_S04_E01O_E16O,derived_stable_all_spans,
59,E16,O,-1,E16-,E16O-,E16O,XING_G_S04_B_S04,22,blue,4,True,0.9042075571765633,0.9042075571765633,21.904207557176562,123.52465,117.83695,manual_close_order_confirmation,ORDER_B_S04_E01O_E16O,derived_stable_all_spans,
