asset_id,related_source,title,requested_url,source_page,final_url,retrieved_utc,http_status,content_type,format,mode,width_px,height_px,frames,bytes,sha256,local_path,status,error
A01,S02,Reciprocal spiral theta symbol,https://www.meru.org/3220lecture/theta.gif,https://www.meru.org/3220lecture/asymspir.html,https://www.meru.org/3220lecture/theta.gif,2026-07-26T13:43:42+00:00,200,image/gif,GIF,P,6,11,1,99,adf4b27a9cbb24c10fc5b9c5821395efe5d9fabfda9a061b5f29f6bf8b37d6e3,data/raw/geometric_assets/A01_theta.gif,success,
A02,S08,Light in the Meeting Tent poster,https://www.meru.org/Posters/lightin.jpg,https://www.meru.org/Posters/ColorLightinTent.html,https://www.meru.org/Posters/lightin.jpg,2026-07-26T13:43:44+00:00,200,image/jpeg,JPEG,RGB,535,715,1,148776,a274d01fefa8f7e804476ae5534cece25a7a323045f26b32264fe16dc8356a98,data/raw/geometric_assets/A02_lightin.jpg,success,
A03,S01,Early toroidal vortex illustration,https://www.meru.org/lightintent/Photocrop640smooth.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/Photocrop640smooth.gif,2026-07-26T13:43:45+00:00,200,image/gif,GIF,L,579,880,1,79950,17acf7e0d9aab22f465b2b4bf5bbd7e630278531683b96c92c4720c2debd21e4,data/raw/geometric_assets/A03_Photocrop640smooth.gif,success,
A04,S01,Seven-region toroidal ribbon illustration,https://www.meru.org/lightintent/mapscrop640smooth.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/mapscrop640smooth.gif,2026-07-26T13:43:46+00:00,200,image/gif,GIF,L,640,957,1,111448,e213c57889ce3455daa6a358ff4c5fb59cb0f4fdba5a8475499407348f22ed4a,data/raw/geometric_assets/A04_mapscrop640smooth.gif,success,
A05,S01,Tetrahedral correspondence illustration,https://www.meru.org/lightintent/tetracrop640smooth.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/tetracrop640smooth.gif,2026-07-26T13:43:47+00:00,200,image/gif,GIF,L,543,880,1,53104,bdfca7be865c32178682a53370fe76302c669700fa24fc0a0026bfa5bfb741f7,data/raw/geometric_assets/A05_tetracrop640smooth.gif,success,
A06,S01,Hebrew letter projection examples,https://www.meru.org/lightintent/Letters640.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/Letters640.gif,2026-07-26T13:43:48+00:00,200,image/gif,GIF,L,619,829,1,188115,a45c1ce8a4462635c92708223a966c3a8586be30f70bc8b24006d6735b6d21fe,data/raw/geometric_assets/A06_Letters640.gif,success,
A07,S01,Arabic letter projection examples,https://www.meru.org/lightintent/Arabic640.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/Arabic640.gif,2026-07-26T13:43:50+00:00,200,image/gif,GIF,L,640,728,1,77065,ce24f2e77eb840b8c01c6094c14e4c211dbe2d19c2e0816b5f1a5faaaa756ff9,data/raw/geometric_assets/A07_Arabic640.gif,success,
A08,S01,Lah swath illustration,https://www.meru.org/lightintent/lah800.gif,https://www.meru.org/lightintent/lightin.html,https://www.meru.org/lightintent/lah800.gif,2026-07-26T13:43:51+00:00,200,image/gif,GIF,L,800,608,1,115268,0b8152a78da90013568e0f9ab9c87de50db092c084225a309f975ec6695c052a,data/raw/geometric_assets/A08_lah800.gif,success,
A09,S06,First Hand Hebrew chart,https://www.meru.org/Gestures/frsthand873.jpg,https://www.meru.org/Gestures/Alphachart.html,https://www.meru.org/Gestures/frsthand873.jpg,2026-07-26T13:43:53+00:00,200,image/jpeg,JPEG,RGB,826,787,1,542620,a091cbe95b9042cddb93bb5a57a07b406d5d1a6053e481faf2746b38a22dab68,data/raw/geometric_assets/A09_frsthand873.jpg,success,
A10,S04,"3,10 knot and tetrahelix poster",https://www.meru.org/Posters/krst2feb7.jpg,https://www.meru.org/Posters/trsknotrngsphere.html,https://www.meru.org/Posters/krst2feb7.jpg,2026-07-26T13:43:54+00:00,200,image/jpeg,JPEG,RGB,576,720,1,263129,ea39190fe27941aad80437b5806b464c345664356093117910bd84d37aafefa3,data/raw/geometric_assets/A10_krst2feb7.jpg,success,
