source_id,source_title,tag,description,raw_url,absolute_url
S01,The Light in the Meeting Tent,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S01,The Light in the Meeting Tent,a,,../MeruIntroPacket.a.20oct08.pdf,https://www.meru.org/MeruIntroPacket.a.20oct08.pdf
S01,The Light in the Meeting Tent,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S01,The Light in the Meeting Tent,img,,Arabic640.gif,https://www.meru.org/lightintent/Arabic640.gif
S01,The Light in the Meeting Tent,img,,Letters640.gif,https://www.meru.org/lightintent/Letters640.gif
S01,The Light in the Meeting Tent,img,,Photocrop640smooth.gif,https://www.meru.org/lightintent/Photocrop640smooth.gif
S01,The Light in the Meeting Tent,img,,lah800.gif,https://www.meru.org/lightintent/lah800.gif
S01,The Light in the Meeting Tent,img,,mapscrop640smooth.gif,https://www.meru.org/lightintent/mapscrop640smooth.gif
S01,The Light in the Meeting Tent,img,,tetracrop640smooth.gif,https://www.meru.org/lightintent/tetracrop640smooth.gif
S01,The Light in the Meeting Tent,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S01,The Light in the Meeting Tent,img,,../merulogo.gif,https://www.meru.org/merulogo.gif
S01,The Light in the Meeting Tent,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S02,The First Distinction and the Most Asymmetric Spiral,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S02,The First Distinction and the Most Asymmetric Spiral,img,,theta.gif,https://www.meru.org/3220lecture/theta.gif
S02,The First Distinction and the Most Asymmetric Spiral,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S02,The First Distinction and the Most Asymmetric Spiral,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S02,The First Distinction and the Most Asymmetric Spiral,img,,../menuimages/meetingtentS.jpg,https://www.meru.org/menuimages/meetingtentS.jpg
S02,The First Distinction and the Most Asymmetric Spiral,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S03,Scientific Abstract of the Meru Research,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S03,Scientific Abstract of the Meru Research,img,,BreshAutoCorrelation210fixed2sm.jpg,https://www.meru.org/BreshAutoCorrelation210fixed2sm.jpg
S03,Scientific Abstract of the Meru Research,a,,MeruIntroPacket.a.20oct08.pdf,https://www.meru.org/MeruIntroPacket.a.20oct08.pdf
S03,Scientific Abstract of the Meru Research,img,Donate to Meru Foundation,images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S03,Scientific Abstract of the Meru Research,img,Meru Foundation ,menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S03,Scientific Abstract of the Meru Research,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S04,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S04,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",img,,krst2feb7.jpg,https://www.meru.org/Posters/krst2feb7.jpg
S04,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S04,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S04,"The 3,10 Torus Knot, Ring, Sphere, Tetrahelix and Hand",img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S05,The Shape of Information: How to Talk to an E.T.,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S05,The Shape of Information: How to Talk to an E.T.,a,,../NewReleases/ARMOFGODRef21sep0CPC.2005A.pdf,https://www.meru.org/NewReleases/ARMOFGODRef21sep0CPC.2005A.pdf
S05,The Shape of Information: How to Talk to an E.T.,a,,../Noetic/ShapeofInfoA3HiTOC.pdf,https://www.meru.org/Noetic/ShapeofInfoA3HiTOC.pdf
S05,The Shape of Information: How to Talk to an E.T.,img,,Image26.gif,https://www.meru.org/ShapeofInfoHTML/Image26.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image27.gif,https://www.meru.org/ShapeofInfoHTML/Image27.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image28.gif,https://www.meru.org/ShapeofInfoHTML/Image28.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image29.gif,https://www.meru.org/ShapeofInfoHTML/Image29.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image30.gif,https://www.meru.org/ShapeofInfoHTML/Image30.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image31.gif,https://www.meru.org/ShapeofInfoHTML/Image31.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image32.gif,https://www.meru.org/ShapeofInfoHTML/Image32.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image33.gif,https://www.meru.org/ShapeofInfoHTML/Image33.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image34.gif,https://www.meru.org/ShapeofInfoHTML/Image34.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image35.gif,https://www.meru.org/ShapeofInfoHTML/Image35.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image36.gif,https://www.meru.org/ShapeofInfoHTML/Image36.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image37.gif,https://www.meru.org/ShapeofInfoHTML/Image37.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,Image38.gif,https://www.meru.org/ShapeofInfoHTML/Image38.gif
S05,The Shape of Information: How to Talk to an E.T.,img,,TliGlglLav.gif,https://www.meru.org/ShapeofInfoHTML/TliGlglLav.gif
S05,The Shape of Information: How to Talk to an E.T.,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S05,The Shape of Information: How to Talk to an E.T.,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S05,The Shape of Information: How to Talk to an E.T.,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S06,The Hebrew Letters — FIRST HAND,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S06,The Hebrew Letters — FIRST HAND,img,,frsthand873.jpg,https://www.meru.org/Gestures/frsthand873.jpg
S06,The Hebrew Letters — FIRST HAND,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S06,The Hebrew Letters — FIRST HAND,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S06,The Hebrew Letters — FIRST HAND,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S07,The God of Abraham: A Mathematician's View,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S07,The God of Abraham: A Mathematician's View,img,,Grkacademy.gif,https://www.meru.org/GodofAbe/Grkacademy.gif
S07,The God of Abraham: A Mathematician's View,img,,IMG00001.gif,https://www.meru.org/GodofAbe/IMG00001.gif
S07,The God of Abraham: A Mathematician's View,img,,IMG00002.gif,https://www.meru.org/GodofAbe/IMG00002.gif
S07,The God of Abraham: A Mathematician's View,img,image 3,IMG00003.gif,https://www.meru.org/GodofAbe/IMG00003.gif
S07,The God of Abraham: A Mathematician's View,img,image 4,IMG00004.gif,https://www.meru.org/GodofAbe/IMG00004.gif
S07,The God of Abraham: A Mathematician's View,img,image 11,IMG00011.gif,https://www.meru.org/GodofAbe/IMG00011.gif
S07,The God of Abraham: A Mathematician's View,img,image 12,IMG00012.gif,https://www.meru.org/GodofAbe/IMG00012.gif
S07,The God of Abraham: A Mathematician's View,img,,IMG00016.gif,https://www.meru.org/GodofAbe/IMG00016.gif
S07,The God of Abraham: A Mathematician's View,img,Continuous Creation,continthumb.jpeg,https://www.meru.org/GodofAbe/continthumb.jpeg
S07,The God of Abraham: A Mathematician's View,img,flame ten,flamten2.gif,https://www.meru.org/GodofAbe/flamten2.gif
S07,The God of Abraham: A Mathematician's View,img,,frsthnd72.gif,https://www.meru.org/GodofAbe/frsthnd72.gif
S07,The God of Abraham: A Mathematician's View,img,,gen1-1autosmal.gif,https://www.meru.org/GodofAbe/gen1-1autosmal.gif
S07,The God of Abraham: A Mathematician's View,img,hand and flame,handflam.gif,https://www.meru.org/GodofAbe/handflam.gif
S07,The God of Abraham: A Mathematician's View,img,knot squ,knotsqu2.gif,https://www.meru.org/GodofAbe/knotsqu2.gif
S07,The God of Abraham: A Mathematician's View,img,nasa hol,nasahol3.jpg,https://www.meru.org/GodofAbe/nasahol3.jpg
S07,The God of Abraham: A Mathematician's View,a,,../NewReleases/ARMOFGODRef21sep0CPC.2005A.pdf,https://www.meru.org/NewReleases/ARMOFGODRef21sep0CPC.2005A.pdf
S07,The God of Abraham: A Mathematician's View,a,,../Noetic/The%20God%20of%20Abraham-A%20Mathematician%27s%20View%20.A3lograf.pdf,https://www.meru.org/Noetic/The%20God%20of%20Abraham-A%20Mathematician%27s%20View%20.A3lograf.pdf
S07,The God of Abraham: A Mathematician's View,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S07,The God of Abraham: A Mathematician's View,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S07,The God of Abraham: A Mathematician's View,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
S08,The Light in the Meeting Tent — Process and Structure,img,"tumblr
visitor",http://c.statcounter.com/174247/0//1/,http://c.statcounter.com/174247/0//1/
S08,The Light in the Meeting Tent — Process and Structure,img,The Light in the Meeting Tent,lightin.jpg,https://www.meru.org/Posters/lightin.jpg
S08,The Light in the Meeting Tent — Process and Structure,img,Donate to Meru Foundation,../images/btn_donate_LG.gif,https://www.meru.org/images/btn_donate_LG.gif
S08,The Light in the Meeting Tent — Process and Structure,img,Meru Foundation ,../menuimages/header2016.jpg,https://www.meru.org/menuimages/header2016.jpg
S08,The Light in the Meeting Tent — Process and Structure,img,,https://www.paypalobjects.com/en_US/i/scr/pixel.gif,https://www.paypalobjects.com/en_US/i/scr/pixel.gif
