cell_id,comparator_id,family,primary_named,equation_label,normalization,growth_parameter,log_multiplier,u_outer,u_inner,theta0,scale,k,r_outer,r_inner,p_outer,p_inner,tau_outer,tau_inner,transport_axis,transport_angle_rad,transported_tau_outer,dot_d,cross_norm_c,delta_s1_rad,delta_s1_deg,residual_r_s1,reciprocal_reference_rad,reciprocal_reference_deg,difference_d_rad,difference_d_deg,state,image_pixel_data_used,technical_error
ARCHIMEDES-ENDPOINT-MATCHED-G30,ARCHIMEDES-ENDPOINT-MATCHED,Archimedean,True,r(u)=1-((1-q_R)/L)u,r(0)=1 and r(L)=q_R,,,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.09592530447777492,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.029877507268076215, -0.04653146061273485, 0.9984699082760038]","[0.8773203845173031, -0.47811657166483984, -0.04139428474888016]","[-0.9766398991891957, -0.21130056165891914, -0.03907147238514001]","[0.8414709848078964, -0.5403023058681398, 1.2682483541073007e-17]",0.5789247564764534,"[0.8832447404431514, -0.46888993398231843, 0.004578022451539614]",-0.7637142179369032,0.645554485168389,2.4398435554402957,139.79273839892204,1.8781449453846224,2.5233555305045834,144.5776221089075,-0.08351197506428765,-4.784883709985454,COMPARATOR_SMALLER_MISMATCH,False,
ARCHIMEDES-ENDPOINT-MATCHED-GHALF,ARCHIMEDES-ENDPOINT-MATCHED,Archimedean,True,r(u)=1-((1-q_R)/L)u,r(0)=1 and r(L)=q_R,,,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.09592530447777492,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.028275329464599135, -0.04403621652532902, 0.9986297198550635]","[0.8782803411577733, -0.4764517193819424, -0.04021692969106244]","[-0.9766838821754712, -0.21147371149706717, -0.036979232608393246]","[0.8414709848078965, -0.5403023058681398, 1.3224633369724575e-17]",0.5523563406657096,"[0.8837666362740116, -0.46790732098817656, 0.004389940157481497]",-0.7643728680654605,0.6447744710868927,2.4408644580065104,139.8512318072602,1.8784956045013577,2.5168042811835494,144.2022631722743,-0.07593982317703896,-4.351031365014083,COMPARATOR_SMALLER_MISMATCH,False,
LOG-ENDPOINT-MATCHED-G30,LOG-ENDPOINT-MATCHED,Logarithmic,True,r(u)=exp(-0.24872580324847479 u),r(0)=1 and r(L)=q_R,0.2487258032484748,1.0,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.0959253044777749,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.02987750726807621, -0.046531460612734846, 0.9984699082760038]","[0.9211340477638811, -0.3747356479497953, -0.10528656232290506]","[-0.9466902138054035, 0.3218695410366662, -0.013328077052796155]","[0.8414709848078964, -0.5403023058681398, 1.2682483541073007e-17]",0.5789247564764534,"[0.9362026755513628, -0.3512676506336216, 0.01164422212109187]",-0.9995114636630321,0.0312543437970317,3.1103332191704216,178.20896633780404,1.9997557169129594,2.5233555305045834,144.5776221089075,0.5869776886658382,33.631344228896545,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-ENDPOINT-MATCHED-GHALF,LOG-ENDPOINT-MATCHED,Logarithmic,True,r(u)=exp(-0.24872580324847479 u),r(0)=1 and r(L)=q_R,0.2487258032484748,1.0,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.0959253044777749,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.028275329464599132, -0.04403621652532901, 0.9986297198550635]","[0.9232315947468461, -0.37039209649824517, -0.10224048763982921]","[-0.9467230369252585, 0.3218017192601224, -0.01261526203631718]","[0.8414709848078965, -0.5403023058681398, 1.3224633369724575e-17]",0.5523563406657096,"[0.9371789918338211, -0.3486703125361609, 0.011160216005010522]",-0.9995924363698531,0.028547524449261324,3.1130412501972593,178.36412508643232,1.9997962078021114,2.5168042811835494,144.2022631722743,0.5962369690137099,34.161861914158024,RECIPROCAL_SMALLER_MISMATCH,False,
GOLDEN-MEAN-G30,GOLDEN-MEAN,Golden Mean logarithmic,True,r(u)=exp(-0.30634896253003313 u),quarter-turn radius ratio phi; r(0)=1,0.30634896253003313,,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.05572809000084122,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.017375034521486924, -0.02706001297990931, 0.9994827981875948]","[0.9333232515854902, -0.3353625431777215, -0.12821728699071142]","[-0.9627037222699389, 0.27039397295726403, -0.009415015453547738]","[0.8414709848078964, -0.5403023058681397, 8.220019713484701e-18]",0.5557623077895127,"[0.9518140660688066, -0.3065648058662438, 0.008246419693269615]",-0.9992858603092203,0.03778583578619355,3.1037978204450374,177.83451557340433,1.9996428982741994,2.5233555305045834,144.5776221089075,0.580442289940454,33.256893464496855,RECIPROCAL_SMALLER_MISMATCH,False,
GOLDEN-MEAN-GHALF,GOLDEN-MEAN,Golden Mean logarithmic,True,r(u)=exp(-0.30634896253003313 u),quarter-turn radius ratio phi; r(0)=1,0.30634896253003313,,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.05572809000084122,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.01644155869654971, -0.02560621051937348, 0.9995368913304128]","[0.9357209003658766, -0.33005016304351126, -0.1244720309685073]","[-0.9627163701040902, 0.2703660651141346, -0.008909633455084394]","[0.8414709848078965, -0.5403023058681398, 8.572316448451674e-18]",0.5304349936402878,"[0.9528283257564574, -0.3034069265912635, 0.007900540018905196]",-0.9994047548911329,0.034498346351599,3.107087460617356,178.0229980713949,1.9997023552974742,2.5168042811835494,144.2022631722743,0.5902831794338068,33.8207348991206,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M050-G30,LOG-GRID-M050,Logarithmic sensitivity grid,False,r(u)=exp(-0.1243629016242374 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.1243629016242374,0.5,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.30971810485952367,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.09510605713009498, -0.14811890803588026, 0.9843859136433362]","[0.886738081867128, -0.4591611117130602, -0.05354108382385631]","[-0.8998645734322938, 0.4356446322934325, -0.021389339294053834]","[0.8414709848078964, -0.5403023058681398, 3.229224777417926e-17]",0.7005444716733203,"[0.8935860353605531, -0.4484960560443223, 0.018849008496371666]",-0.9998944837933477,0.014526571503111697,3.1270655711355424,179.16765948673287,1.999947241200801,2.5233555305045834,144.5776221089075,0.603710040630959,34.5900373778254,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M050-GHALF,LOG-GRID-M050,Logarithmic sensitivity grid,False,r(u)=exp(-0.1243629016242374 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.1243629016242374,0.5,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.30971810485952367,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.09013787269736658, -0.1403814192228388, 0.985985913206966]","[0.887947552318248, -0.4569940720321149, -0.05201502147974653]","[-0.9000532193740759, 0.43530670947004213, -0.02030445726252944]","[0.8414709848078964, -0.5403023058681398, 3.3623413054142233e-17]",0.6676123033012454,"[0.8943021366422932, -0.44709739331887566, 0.01809998023467136]",-0.9999115225514111,0.013302145275044858,3.128290115987572,179.23782073857865,1.9999557607864287,2.5168042811835494,144.2022631722743,0.6114858348040224,35.03555756630435,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M075-G30,LOG-GRID-M075,Logarithmic sensitivity grid,False,r(u)=exp(-0.18654435243635609 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.1865443524363561,0.75,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.17236531991943516,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.0535039930085168, -0.08332753201134588, 0.9950848431872746]","[0.9053257450914555, -0.4171648120998545, -0.07974217717302555]","[-0.9254633971393786, 0.3784056813773094, -0.018073208254621123]","[0.8414709848078965, -0.5403023058681398, 2.973974067729713e-17]",0.622787369294115,"[0.9164467665787893, -0.39984484732942777, 0.01579310265239072]",-0.9997269318275271,0.02336796479625749,3.1182225615453665,178.6609923590221,1.9998634612530561,2.5233555305045834,144.5776221089075,0.5948670310407831,34.083370250114605,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M075-GHALF,LOG-GRID-M075,Logarithmic sensitivity grid,False,r(u)=exp(-0.18654435243635609 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.1865443524363561,0.75,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.17236531991943516,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.050652744182656806, -0.0788869750650383, 0.9955958741737805]","[0.9070209143246251, -0.4139007335074666, -0.07745478538929888]","[-0.9255483722141095, 0.3782422043057311, -0.017118573940423442]","[0.8414709848078965, -0.5403023058681398, 1.8600057647204445e-17]",0.5938867652966443,"[0.9173222825399815, -0.3978573030743561, 0.01514583593066034]",-0.9997718438268576,0.021360250257090378,3.120230778693448,178.77605472595295,1.9998859186597906,2.5168042811835494,144.2022631722743,0.6034264975098984,34.57379155367866,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M100-G30,LOG-GRID-M100,Logarithmic sensitivity grid,False,r(u)=exp(-0.24872580324847479 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.2487258032484748,1.0,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.0959253044777749,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.02987750726807621, -0.046531460612734846, 0.9984699082760038]","[0.9211340477638811, -0.3747356479497953, -0.10528656232290506]","[-0.9466902138054035, 0.3218695410366662, -0.013328077052796155]","[0.8414709848078964, -0.5403023058681398, 1.2682483541073007e-17]",0.5789247564764534,"[0.9362026755513628, -0.3512676506336216, 0.01164422212109187]",-0.9995114636630321,0.0312543437970317,3.1103332191704216,178.20896633780404,1.9997557169129594,2.5233555305045834,144.5776221089075,0.5869776886658382,33.631344228896545,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M100-GHALF,LOG-GRID-M100,Logarithmic sensitivity grid,False,r(u)=exp(-0.24872580324847479 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.2487258032484748,1.0,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.0959253044777749,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.028275329464599132, -0.04403621652532901, 0.9986297198550635]","[0.9232315947468461, -0.37039209649824517, -0.10224048763982921]","[-0.9467230369252585, 0.3218017192601224, -0.01261526203631718]","[0.8414709848078965, -0.5403023058681398, 1.3224633369724575e-17]",0.5523563406657096,"[0.9371789918338211, -0.3486703125361609, 0.011160216005010522]",-0.9995924363698531,0.028547524449261324,3.1130412501972593,178.36412508643232,1.9997962078021114,2.5168042811835494,144.2022631722743,0.5962369690137099,34.161861914158024,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M125-G30,LOG-GRID-M125,Logarithmic sensitivity grid,False,r(u)=exp(-0.3109072540605935 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.3109072540605935,1.25,0.0,9.42477796076938,1.0,G30,0.5773502691896257,1.0,0.053384660228952954,"[0.2701511529340699, 0.42073549240394825, 0.8660254037844387]","[-0.016645103129411126, -0.02592321219142235, 0.9995253511599841]","[0.9341882238805082, -0.3322546326130306, -0.12999700561998315]","[-0.9638286410795066, 0.2663658552452834, -0.009142307929629265]","[0.8414709848078965, -0.5403023058681398, 1.1533138101351326e-17]",0.5544106691900934,"[0.9529416775533477, -0.30304785899899245, 0.008009640312685808]",-0.9992673108449313,0.03827324753322555,3.1033100558517273,177.80656872081175,1.9996336218642312,2.5233555305045834,144.5776221089075,0.5799545253471439,33.22894661190427,RECIPROCAL_SMALLER_MISMATCH,False,
LOG-GRID-M125-GHALF,LOG-GRID-M125,Logarithmic sensitivity grid,False,r(u)=exp(-0.3109072540605935 u),r(0)=1; b fixed by preregistered multiplier of b_*,0.3109072540605935,1.25,0.0,9.42477796076938,1.0,GHALF,0.5463024898437905,1.0,0.053384660228952954,"[0.2590347239999258, 0.4034226801113349, 0.8775825618903728]","[-0.015750772835827008, -0.02453037528380157, 0.9995749966078133]","[0.9366067315313751, -0.32686730530311686, -0.12619665278442888]","[-0.9638403456985968, 0.266339895115519, -0.008651489667327627]","[0.8414709848078964, -0.5403023058681398, 5.154635687390072e-18]",0.529155908500551,"[0.9539566081659333, -0.29984647341064613, 0.007673468560338057]",-0.999389332209026,0.034942276210871724,3.1066432629335243,177.99754741884183,1.9996946427937572,2.5168042811835494,144.2022631722743,0.589838981749975,33.795284246567554,RECIPROCAL_SMALLER_MISMATCH,False,
