carrier_id,w,throat_class,e,R,a,outer_equatorial_radius,throat_radius,sphere_likeness_rms,analytic_admissible,genus
VB-W02-E14,0.02,NARROW,1.4,0.51,0.49,1.0,0.020000000000000018,0.05334433125747475,True,1
VB-W02-E16,0.02,NARROW,1.6,0.51,0.49,1.0,0.020000000000000018,0.01961545587838003,True,1
VB-W02-E18,0.02,NARROW,1.8,0.51,0.49,1.0,0.020000000000000018,0.04942671621680366,True,1
VB-W02-E20,0.02,NARROW,2.0,0.51,0.49,1.0,0.020000000000000018,0.09872610704213672,True,1
VB-W02-E22,0.02,NARROW,2.2,0.51,0.49,1.0,0.020000000000000018,0.15132507602591755,True,1
VB-W05-E14,0.05,NARROW,1.4,0.525,0.475,1.0,0.050000000000000044,0.057415631872077696,True,1
VB-W05-E16,0.05,NARROW,1.6,0.525,0.475,1.0,0.050000000000000044,0.021835643794133015,True,1
VB-W05-E18,0.05,NARROW,1.8,0.525,0.475,1.0,0.050000000000000044,0.04105995579825946,True,1
VB-W05-E20,0.05,NARROW,2.0,0.525,0.475,1.0,0.050000000000000044,0.08727665698919491,True,1
VB-W05-E22,0.05,NARROW,2.2,0.525,0.475,1.0,0.050000000000000044,0.1372994613731609,True,1
VB-W10-E14,0.1,MODERATE,1.4,0.55,0.45,1.0,0.10000000000000003,0.06351093512583883,True,1
VB-W10-E16,0.1,MODERATE,1.6,0.55,0.45,1.0,0.10000000000000003,0.0282181540576958,True,1
VB-W10-E18,0.1,MODERATE,1.8,0.55,0.45,1.0,0.10000000000000003,0.028952153282411935,True,1
VB-W10-E20,0.1,MODERATE,2.0,0.55,0.45,1.0,0.10000000000000003,0.06922938538625924,True,1
VB-W10-E22,0.1,MODERATE,2.2,0.55,0.45,1.0,0.10000000000000003,0.11488381408925108,True,1
VB-W20-E14,0.2,MODERATE,1.4,0.6,0.4,1.0,0.19999999999999996,0.07286120232770849,True,1
VB-W20-E16,0.2,MODERATE,1.6,0.6,0.4,1.0,0.19999999999999996,0.0426000818873007,True,1
VB-W20-E18,0.2,MODERATE,1.8,0.6,0.4,1.0,0.19999999999999996,0.018905431189767178,True,1
VB-W20-E20,0.2,MODERATE,2.0,0.6,0.4,1.0,0.19999999999999996,0.037896854411223924,True,1
VB-W20-E22,0.2,MODERATE,2.2,0.6,0.4,1.0,0.19999999999999996,0.07410408716978942,True,1
VB-W30-E14,0.3,WIDE,1.4,0.65,0.35,1.0,0.30000000000000004,0.07813591300083833,True,1
VB-W30-E16,0.3,WIDE,1.6,0.65,0.35,1.0,0.30000000000000004,0.05414140928064724,True,1
VB-W30-E18,0.3,WIDE,1.8,0.65,0.35,1.0,0.30000000000000004,0.02979615800207092,True,1
VB-W30-E20,0.3,WIDE,2.0,0.65,0.35,1.0,0.30000000000000004,0.018272736228308092,True,1
VB-W30-E22,0.3,WIDE,2.2,0.65,0.35,1.0,0.30000000000000004,0.039991266720744274,True,1
